,ID Number COSPAR,Satellite Name,Country of Operator/Owner,Operator/Owner,Country of Contractor,Contractor,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Period (minutes),Expected Lifetime (yrs.),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Launch Site,Launch Vehicle,Launch Year,Launch Month
22,2019-051A,"AEHF-5 (Advanced Extremely High Frequency satellite-5, USA 29USA 2)",USA,US Air Force,USA,Lockheed Martin Space Systems,Military,Communications,nan,GEO,nan,1436.2,13.0,6169.0,nan,nan,Cape Canaveral,Atlas 5,2019,8
23,2020-022B,"AEHF-6 (Advanced Extremely High Frequency satellite-6, USA 298)",USA,US Air Force,USA,Lockheed Martin Space Systems,Military,Communications,nan,GEO,nan,1436.0,13.0,6169.0,nan,nan,Cape Canaveral,Atlas 5,2020,3
24,2012-019A,"AEHF-USA 2 (Advanced Extremely High Frequency satellite-USA 2, USA 235)",USA,US Air Force,USA,Lockheed Martin Space Systems,Military,Communications,nan,GEO,nan,1436.1,14.0,6169.0,nan,nan,Cape Canaveral,Atlas 5,2012,5
25,2012-048C,Aeneas,USA,Department of Homeland Security,USA,University of Southern California,Government,Technology Development,nan,LEO,Equatorial,97.4,4.0,3.0,nan,nan,Vandenberg AFB,Atlas 5,2012,9
26,2018-066A,Aeolus,Multinational,European Space Agency (ESA),Multinational,Airbus Defense and Space,Government,Earth Observation,Earth Science,LEO,nan,92.4,3.0,1367.0,nan,nan,Guiana Space Center,Vega,2018,8
27,2018-104N,Aerocube 11A (TOMSat Eagle Scout),USA,Aerospace Corporation,USA,Aerospace Corporation,Commercial,Technology Development,nan,LEO,Polar,94.6,4.0,4.0,nan,nan,Rocket Lab Launch Complex 1,Electron,2018,12
28,2018-104A,Aerocube 11B (TOMSat R3),USA,Aerospace Corporation,USA,Aerospace Corporation,Commercial,Technology Development,nan,LEO,Polar,94.6,4.0,4.0,nan,nan,Rocket Lab Launch Complex 1,Electron,2018,12
29,2018-046C,Aerocube 12A,USA,Aerospace Corporation,USA,Aerospace Corporation,Commercial,Technology Development,nan,LEO,Non-Polar Inclined,94.2,4.0,4.0,nan,nan,Cygnus,Nanorack Deployer,2018,7
30,2018-046D,Aerocube 12B,USA,Aerospace Corporation,USA,Aerospace Corporation,Commercial,Technology Development,nan,LEO,Non-Polar Inclined,94.2,4.0,4.0,nan,nan,Cygnus,Nanorack Deployer,2018,7
31,2019-071D,Aerocube 14A,USA,Aerospace Corporation,USA,Aerospace Corporation,Military,Technology Development,nan,LEO,Non-Polar Inclined,93.9,4.0,311.0,nan,nan,Cygnus,Nanorack Deployer,2020,1
32,2019-071F,Aerocube 14B,USA,Aerospace Corporation,USA,Aerospace Corporation,Military,Technology Development,nan,LEO,Non-Polar Inclined,93.9,4.0,311.0,nan,nan,Cygnus,Nanorack Deployer,2020,1
33,2019-071G,Aerocube 15A,USA,Aerospace Corporation,USA,Aerospace Corporation,Military,Technology Development,nan,LEO,Non-Polar Inclined,93.9,4.0,311.0,nan,nan,Cygnus,Nanorack Deployer,2020,1
34,2015-058B,Aerocube 5C,USA,Aerospace Corporation,USA,Aerospace Corporation,Commercial,Technology Development,nan,LEO,Non-Polar Inclined,97.74,4.0,1.5,nan,nan,Vandenberg AFB,Atlas 5,2015,10
35,2014-033AM,Aerocube 6A,USA,Aerospace Corporation,USA,Aerospace Corporation,Commercial,Technology Development,nan,LEO,Sun-Synchronous,97.88,3.0,5.0,nan,nan,Dombarovsky Air Base,Dnepr,2014,6
36,2014-033AN,Aerocube 6B,USA,Aerospace Corporation,USA,Aerospace Corporation,Commercial,Technology Development,nan,LEO,Sun-Synchronous,97.88,3.0,5.0,nan,nan,Dombarovsky Air Base,Dnepr,2014,6
37,2015-058C,Aerocube 7A,USA,Aerospace Corporation,USA,Aerospace Corporation,Commercial,Technology Development,nan,LEO,Non-Polar Inclined,97.4,4.0,2.0,nan,nan,Vandenberg AFB,Atlas 5,2015,10
38,2016-067F,Aerocube 8C,USA,Aerospace Corporation,USA,Aerospace Corporation,Commercial,Technology Development,nan,LEO,Sun-Synchronous,96.2,4.0,5.0,nan,nan,Vandenberg AFB,Atlas 5,2016,11
39,2016-067E,Aerocube 8D,USA,Aerospace Corporation,USA,Aerospace Corporation,Commercial,Technology Development,nan,LEO,Sun-Synchronous,96.23,4.0,2.0,nan,nan,Vandenberg AFB,Atlas 5,2016,11
40,2008-065B,"Afghansat-1 (Eutelsat 48D [Eutelsat 48B, Eutelsat W2M])",Multinational,EUTELSAT S.A.,France,EADS Astrium,Commercial,Communications,nan,GEO,nan,1436.08,15.0,3460.0,1555,7000,Guiana Space Center,Ariane 5,2008,12
41,2021-034C,AII-Bravo,Lithuania,Aurora Insight,USA,NanoAvionics,Commercial,Communications,nan,LEO,Sun-Synchronous,95.8,4.0,9.0,nan,nan,Guiana Space Center,Vega W18,2021,4
42,2021-006AD,AII-Charlie,Lithuania,Aurora Insight,USA,NanoAvionics,Commercial,Communications,nan,LEO,Sun-Synchronous,95.2,4.0,9.0,nan,nan,Cape Canaveral,Falcon 9,2021,1
43,2007-015A,AIM (Aeronomy of Ice in Mesosphere),USA,"Center for Atmospheric Sciences, Hampton University/NASA",USA,Orbital Sciences Corp.,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,96.2,2.0,215.0,197,216,Vandenberg AFB,Pegasus XL,2007,4
44,2010-035C,AISSat-1 (Automatic Identification System Satellite-1),Norway,Norwegian Coastal Admnistration,Canada,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,97.2,3.0,6.0,nan,nan,Satish Dhawan Space Centre,PSLV,2010,7
45,2014-037G,AISSat-2 (Automatic Identification System Satellite-2),Norway,Norwegian Coastal Admnistration,Multinational,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,97.27,3.0,6.0,nan,nan,Baikonur Cosmodrome,Soyuz-2.1b,2014,7
46,2018-099L,AISTechSat-2,Spain,AISTech,Denmark,GomSpace ApS,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,96.4,4.0,2.6,nan,nan,Vandenberg AFB,Falcon 9,2018,12
47,2019-018AB,AISTechSat-3,Spain,AISTech,Denmark,GomSpace ApS,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,94.6,4.0,2.3,nan,nan,Satish Dhawan Space Centre,PSLV,2019,4
48,2018-012A,Al Yah-3,UAE,Al Yah Satellite Communications Co. (YAHSAT),USA,Orbital ATK,Commercial,Communications,nan,GEO,nan,1436.0,15.0,3795.0,nan,nan,Guiana Space Center,Ariane 5,2018,1
49,2018-099AZ,Al-Farabi-2,Kazakhstan,Al-Farabi Kazakh National University,Kazakhstan,Al-Farabi Kazakh National University,Civil,Technology Development,nan,LEO,Sun-Synchronous,96.2,4.0,4.0,nan,nan,Vandenberg AFB,Falcon 9,2018,12
50,2017-078A,Alcomsat (Algerian Communications Satellite),Algeria,Algerian Space Agency (ASAL),China,China Academy of Space Technology (CAST),Government,Communications,nan,GEO,nan,1436.1,15.0,5225.0,nan,nan,Xichang Satellite Launch Center,Long March 3B,2017,12
51,2019-084A,ALE-2 (Astro Live Experiences-2),Japan,Astro Live Experiences,Japan,Astro Live Experiences,Commercial,Earth Science,nan,LEO,Sun-Synchronous,92.06,4.0,75.0,nan,nan,Rocket Lab Launch Complex 1,Electron,2019,12
