,ID Number COSPAR,Satellite Name,Country of Operator/Owner,Operator/Owner,Country of Contractor,Contractor,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Period (minutes),Expected Lifetime (yrs.),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Launch Site,Launch Vehicle,Launch Year,Launch Month
892,2017-082A,"GCOM-C (Global Change Observation Mission Climate, Shikisai)",Japan,Japan Aerospace Exploration Agency (JAXA),Japan,Japan Aerospace Exploration Agency (JAXA),Government,Earth Observation,nan,LEO,Sun-Synchronous,100.69,5.0,2200.0,nan,nan,Tanegashima Space Center,H2A,2017,12
893,2022-003D,GEARRS-3 (Globalstar Experiment And Risk Reduction Satellite 3),USA,Air Force Research Laboratory/Globalstar,USA,Air Force Research Laboratory,Multi Users,Communications,nan,LEO,Non-Polar Inclined,95.0,4.0,4.0,nan,nan,Virgin Orbit,LauncherOne,2022,1
894,2015-025G,GEARRSAT-2 (Globalstar Experiment And Risk Reduction Satellite),USA,NearSpace Launch/Air Force Research Laboratory,USA,NearSpace Launch/Air Force Research Laboratory,Government,Technology Development,nan,LEO,Non-Polar Inclined,95.0,4.0,10.0,nan,nan,Cape Canaveral,Atlas 5,2015,5
895,2020-094A,GECAM-A (Gravitational Wave High-energy Electromagnetic Counterpart All-sky Monitor),China,Chinese Academy of Sciences,China,Shanghai Institute of Microsatellite Innovation,Government,Space Science,nan,LEO,Non-Polar Inclined,96.6,4.0,150.0,nan,nan,Xichang Satellite Launch Center,Long March 11,2020,12
896,2020-094B,GECAM-B (Gravitational Wave High-energy Electromagnetic Counterpart All-sky Monitor),China,Chinese Academy of Sciences,China,Shanghai Institute of Microsatellite Innovation,Government,Space Science,nan,LEO,Non-Polar Inclined,96.6,4.0,150.0,nan,nan,Xichang Satellite Launch Center,Long March 11,2020,12
897,2022-058A,GeeSat 5-01,China,Geespace,China,Geespace,Commercial,Earth Observation/Navigation,nan,LEO,Non-Polar Inclined,96.9,5.0,100.0,nan,nan,Xichang Satellite Launch Center,Long March 2,2022,6
898,2022-058B,GeeSat 5-02,China,Geespace,China,Geespace,Commercial,Earth Observation/Navigation,nan,LEO,Non-Polar Inclined,96.9,5.0,100.0,nan,nan,Xichang Satellite Launch Center,Long March 2,2022,6
899,2022-058C,GeeSat 5-03,China,Geespace,China,Geespace,Commercial,Earth Observation/Navigation,nan,LEO,Non-Polar Inclined,96.9,5.0,100.0,nan,nan,Xichang Satellite Launch Center,Long March 2,2022,6
900,2022-058D,GeeSat 5-04,China,Geespace,China,Geespace,Commercial,Earth Observation/Navigation,nan,LEO,Non-Polar Inclined,96.9,5.0,100.0,nan,nan,Xichang Satellite Launch Center,Long March 2,2022,6
901,2022-058E,GeeSat 5-05,China,Geespace,China,Geespace,Commercial,Earth Observation/Navigation,nan,LEO,Non-Polar Inclined,96.9,5.0,100.0,nan,nan,Xichang Satellite Launch Center,Long March 2,2022,6
902,2022-058F,GeeSat 5-06,China,Geespace,China,Geespace,Commercial,Earth Observation/Navigation,nan,LEO,Non-Polar Inclined,96.9,5.0,100.0,nan,nan,Xichang Satellite Launch Center,Long March 2,2022,6
903,2022-058G,GeeSat 5-07,China,Geespace,China,Geespace,Commercial,Earth Observation/Navigation,nan,LEO,Non-Polar Inclined,96.9,5.0,100.0,nan,nan,Xichang Satellite Launch Center,Long March 2,2022,6
904,2022-058H,GeeSat 5-08,China,Geespace,China,Geespace,Commercial,Earth Observation/Navigation,nan,LEO,Non-Polar Inclined,96.9,5.0,100.0,nan,nan,Xichang Satellite Launch Center,Long March 2,2022,6
905,2022-058J,GeeSat 5-09,China,Geespace,China,Geespace,Commercial,Earth Observation/Navigation,nan,LEO,Non-Polar Inclined,96.9,5.0,100.0,nan,nan,Xichang Satellite Launch Center,Long March 2,2022,6
906,2006-029A,Genesis-1,USA,Bigelow Aerospace,USA,Bigelow Aerospace,Commercial,Technology Development,nan,LEO,Non-Polar Inclined,95.6,5.0,1360.0,nan,nan,Dombarovsky Air Base,Dnepr,2006,7
907,2007-028A,Genesis-2,USA,Bigelow Aerospace,USA,Bigelow Aerospace,Commercial,Technology Development,nan,LEO,Non-Polar Inclined,95.6,5.0,1360.0,nan,nan,Dombarovsky Air Base,Dnepr,2007,6
908,2016-034A,GEO IK2 12L (Cosmos 2517),Russia,Ministry of Defense,Russia,ISS Reshetnev,Military,Earth Science,nan,LEO,Sun-Synchronous,104.03,5.0,900.0,nan,nan,Plesetsk Cosmodrome,Rokot,2016,6
909,2019-057A,GEO IK2 13L (Cosmos 2540),Russia,Ministry of Defense,Russia,ISS Reshetnev,Military,Earth Science,nan,LEO,Sun-Synchronous,103.9,5.0,900.0,nan,nan,Plesetsk Cosmodrome,Rokot,2019,8
910,2018-100A,GEO-Kompsat-2A,South Korea,Korea Meteorological Administration/National Meteorological Satellite Center,South Korea,Korea Aerospace Research Institute (KARI),Government,Earth Observation,Meteorology,GEO,nan,1436.04,10.0,3507.0,nan,2600,Guiana Space Center,Ariane 5,2018,12
911,2020-013B,GEO-Kompsat-2B,South Korea,Korea Meteorological Administration/National Meteorological Satellite Center,South Korea,Korea Aerospace Research Institute (KARI),Government,Earth Observation,Meteorology,GEO,nan,1436.13,10.0,3379.0,nan,nan,Guiana Space Center,Ariane 5,2020,2
912,2008-042A,GeoEye-1 (Orbview 5),USA,DigitalGlobe Corporation,USA,General Dynamics,Multi Users,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,98.3,7.0,1955.0,nan,nan,Vandenberg AFB,Delta 2,2008,9
913,1992-044A,Geotail (Geomagnetic Tail Laboratory),Multinational,Institute of Space and Astronautical Science (ISAS)/NASA/ESA,USA,NASA/Goddard Space Flight Center,Government,Space Science,nan,Elliptical,Deep Highly Eccentric,2474.83,6.0,980.0,nan,273,Cape Canaveral,Delta 2,1992,7
914,2021-059CM,Ghalib,UAE,Marshall Intec,UAE,AIVT by ISISSpace,Government,Earth Observation,nan,LEO,Sun-Synchronous,95.1,4.0,3.0,nan,nan,Cape Canaveral,Falcon 9,2021,6
915,2020-061G,GHGSat-C1 (Iris),Canada,"GHGSat, Inc.",Canada,GHGSat,Commercial,Earth Science,nan,LEO,Sun-Synchronous,94.5,4.0,15.0,15,nan,Guiana Space Center,Vega,2020,9
916,2021-006DA,GHGSat-C2 (Hugo),Canada,"GHGSat, Inc.",Canada,GHGSat,Commercial,Earth Science,nan,LEO,Sun-Synchronous,95.2,4.0,15.0,15,nan,Cape Canaveral,Falcon 9,2021,1
917,2023-054AC,GHGSat-C6 (Mey-Lin),Canada,"GHGSat, Inc.",Canada,GHGSat,Commercial,Earth Science,nan,LEO,Sun-Synchronous,95.0,4.0,15.0,15,nan,Vandenberg AFB,Falcon 9,2023,4
918,2023-054AH,GHGSat-C7 (Gaspard),Canada,"GHGSat, Inc.",Canada,GHGSat,Commercial,Earth Science,nan,LEO,Sun-Synchronous,96.77,4.0,15.0,15,nan,Vandenberg AFB,Falcon 9,2023,4
919,2023-054J,GHGSat-C8 (Oceane),Canada,"GHGSat, Inc.",Canada,GHGSat,Commercial,Earth Science,nan,LEO,Sun-Synchronous,95.2,4.0,15.0,15,nan,Vandenberg AFB,Falcon 9,2023,4
920,2016-040D,"GHGSat-D (Greenhouse Gas Satellite - Demonstrator, Claire)",Canada,"GHGSat, Inc.",Canada,"University of Toronto, Institute for Aerospace Studies/ Space Flight Laboratory",Commercial,Earth Science,nan,LEO,Sun-Synchronous,94.7,4.0,15.0,nan,nan,Satish Dhawan Space Centre,PSLV XL,2016,6
921,2023-054T,GHOSt-1 (Global Hyperspectral Observation Satellite),USA,Orbital Sidekick,USA,AstroDigital,Commercial,Earth Observation,Hyperspectral Imaging,LEO,Sun-Synchronous,94.7,4.0,85.0,85,nan,Vandenberg AFB,Falcon 9,2023,4
922,2023-054V,GHOSt-2 (Global Hyperspectral Observation Satellite),USA,Orbital Sidekick,USA,AstroDigital,Commercial,Earth Observation,Hyperspectral Imaging,LEO,Sun-Synchronous,94.7,4.0,85.0,85,nan,Vandenberg AFB,Falcon 9,2023,4
923,2012-025A,"Global Change Observation Mission - 1 Water (GCOM-1, Shikuzu)",Multinational,Japan Aerospace Exploration Agency (JAXA),Japan,Japan Aerospace Exploration Agency (JAXA),Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,98.8,5.0,1900.0,nan,4.05,Tanegashima Space Center,H2A,2012,5
924,2022-064A,Globalstar FM15,USA,Globalstar,Italy,Thales Alenia Space,Commercial,Communications,nan,LEO,Non-Polar Inclined,113.0,15.0,715.0,500,1700,Cape Canaveral,Falcon 9,2022,6
925,1999-012D,Globalstar M037 (Globalstar 16),USA,Globalstar,USA,Space Systems/Loral,Commercial,Communications,nan,LEO,Non-Polar Inclined,114.1,10.0,450.0,350,1500,Baikonur Cosmodrome,Soyuz U,1999,3
926,2007-020A,Globalstar M065 (Globalstar 65),USA,Globalstar,Italy,Space Systems/Loral/Alenia Aerospazio,Commercial,Communications,nan,LEO,Non-Polar Inclined,114.1,10.0,450.0,350,1500,Baikonur Cosmodrome,Soyuz-Fregat,2007,5
927,2007-048C,Globalstar M066 (Globalstar 66),USA,Globalstar,Italy,Space Systems/Loral/Alenia Aerospazio,Commercial,Communications,nan,LEO,Non-Polar Inclined,114.1,10.0,450.0,350,1500,Baikonur Cosmodrome,Soyuz-Fregat,2007,10
928,2007-048A,Globalstar M067 (Globalstar 67),USA,Globalstar,Italy,Space Systems/Loral/Alenia Aerospazio,Commercial,Communications,nan,LEO,Non-Polar Inclined,114.1,10.0,450.0,350,1500,Baikonur Cosmodrome,Soyuz-Fregat,2007,10
929,2007-020C,Globalstar M069 (Globalstar 69),USA,Globalstar,Italy,Space Systems/Loral/Alenia Aerospazio,Commercial,Communications,nan,LEO,Non-Polar Inclined,114.1,10.0,450.0,350,1500,Baikonur Cosmodrome,Soyuz-Fregat,2007,5
930,2007-048B,Globalstar M070 (Globalstar 70),USA,Globalstar,Italy,Space Systems/Loral/Alenia Aerospazio,Commercial,Communications,nan,LEO,Non-Polar Inclined,114.1,10.0,450.0,350,1500,Baikonur Cosmodrome,Soyuz-Fregat,2007,10
931,2007-020F,Globalstar M071 (Globalstar 71),USA,Globalstar,Italy,Space Systems/Loral/Alenia Aerospazio,Commercial,Communications,nan,LEO,Non-Polar Inclined,114.1,10.0,450.0,350,1500,Baikonur Cosmodrome,Soyuz-Fregat,2007,5
932,2007-020D,Globalstar M072 (Globalstar 72),USA,Globalstar,Italy,Space Systems/Loral/Alenia Aerospazio,Commercial,Communications,nan,LEO,Non-Polar Inclined,114.1,10.0,450.0,350,1500,Baikonur Cosmodrome,Soyuz-Fregat,2007,5
933,2010-054F,"Globalstar M073 (Globalstar 73, Globalstar 2-6)",USA,Globalstar,Italy,Thales Alenia Space,Commercial,Communications,nan,LEO,Non-Polar Inclined,114.1,15.0,700.0,nan,1700,Baikonur Cosmodrome,Soyuz-Fregat,2010,10
934,2010-054B,"Globalstar M074 (Globalstar 74, Globalstar 2-2)",USA,Globalstar,Italy,Thales Alenia Space,Commercial,Communications,nan,LEO,Non-Polar Inclined,114.1,15.0,700.0,nan,1700,Baikonur Cosmodrome,Soyuz-Fregat,2010,10
935,2010-054E,"Globalstar M075 (Globalstar 75, Globalstar 2-5)",USA,Globalstar,Italy,Thales Alenia Space,Commercial,Communications,nan,LEO,Non-Polar Inclined,114.1,15.0,700.0,nan,1700,Baikonur Cosmodrome,Soyuz-Fregat,2010,10
936,2010-054C,"Globalstar M076 (Globalstar 76, Globalstar 2-3)",USA,Globalstar,Italy,Thales Alenia Space,Commercial,Communications,nan,LEO,Non-Polar Inclined,114.1,15.0,700.0,nan,1700,Baikonur Cosmodrome,Soyuz-Fregat,2010,10
937,2010-054D,"Globalstar M077 (Globalstar 77, Globalstar 2-4)",USA,Globalstar,Italy,Thales Alenia Space,Commercial,Communications,nan,LEO,Non-Polar Inclined,114.1,15.0,700.0,nan,1700,Baikonur Cosmodrome,Soyuz-Fregat,2010,10
938,2013-005E,"Globalstar M078 (Globalstar 95, Globalstar 2-23)",USA,Globalstar,Italy,Thales Alenia Space,Commercial,Communications,nan,LEO,Non-Polar Inclined,114.08,15.0,700.0,nan,1700,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013,2
939,2010-054A,"Globalstar M079 (Globalstar 79, Globalstar 2-1)",USA,Globalstar,Italy,Thales Alenia Space,Commercial,Communications,nan,LEO,Non-Polar Inclined,114.1,15.0,700.0,nan,1700,Baikonur Cosmodrome,Soyuz-Fregat,2010,10
940,2011-080B,"Globalstar M080 (Globalstar 80, Globalstar 2-14)",USA,Globalstar,Italy,Thales Alenia Space,Commercial,Communications,nan,LEO,Non-Polar Inclined,114.1,15.0,700.0,nan,1700,Baikonur Cosmodrome,Soyuz-2.1a/Fregat,2011,12
941,2011-033E,"Globalstar M081 (Globalstar 81, Globalstar 2-11)",USA,Globalstar,Italy,Thales Alenia Space,Commercial,Communications,nan,LEO,Non-Polar Inclined,114.1,15.0,700.0,nan,1700,Baikonur Cosmodrome,Soyuz-2.1a,2011,7
942,2011-080C,"Globalstar M082 (Globalstar 82, Globalstar 2-15)",USA,Globalstar,Italy,Thales Alenia Space,Commercial,Communications,nan,LEO,Non-Polar Inclined,114.1,15.0,700.0,nan,1700,Baikonur Cosmodrome,Soyuz-2.1a/Fregat,2011,12
943,2011-033A,"Globalstar M083 (Globalstar 83, Globalstar 2-7)",USA,Globalstar,Italy,Thales Alenia Space,Commercial,Communications,nan,LEO,Non-Polar Inclined,114.1,15.0,700.0,nan,1700,Baikonur Cosmodrome,Soyuz-2.1a,2011,7
944,2011-080A,"Globalstar M084 (Globalstar 84, Globalstar 2-13)",USA,Globalstar,Italy,Thales Alenia Space,Commercial,Communications,nan,LEO,Non-Polar Inclined,114.1,15.0,700.0,nan,1700,Baikonur Cosmodrome,Soyuz-2.1a/Fregat,2011,12
945,2011-033D,"Globalstar M085 (Globalstar 85, Globalstar 2-10)",USA,Globalstar,Italy,Thales Alenia Space,Commercial,Communications,nan,LEO,Non-Polar Inclined,114.1,15.0,700.0,nan,1700,Baikonur Cosmodrome,Soyuz-2.1a,2011,7
946,2011-080F,"Globalstar M086 (Globalstar 86, Globalstar 2-18)",USA,Globalstar,Italy,Thales Alenia Space,Commercial,Communications,nan,LEO,Non-Polar Inclined,114.1,15.0,700.0,nan,1700,Baikonur Cosmodrome,Soyuz-2.1a/Fregat,2011,12
947,2011-033B,"Globalstar M088 (Globalstar 88, Globalstar 2-8)",USA,Globalstar,Italy,Thales Alenia Space,Commercial,Communications,nan,LEO,Non-Polar Inclined,114.1,15.0,700.0,nan,1700,Baikonur Cosmodrome,Soyuz-2.1a,2011,7
948,2011-033F,"Globalstar M089 (Globalstar 89, Globalstar 2-12)",USA,Globalstar,Italy,Thales Alenia Space,Commercial,Communications,nan,LEO,Non-Polar Inclined,118.2,15.0,700.0,nan,1700,Baikonur Cosmodrome,Soyuz-2.1a,2011,7
949,2011-080E,"Globalstar M090 (Globalstar 90, Globalstar 2-17)",USA,Globalstar,Italy,Thales Alenia Space,Commercial,Communications,nan,LEO,Non-Polar Inclined,114.1,15.0,700.0,nan,1700,Baikonur Cosmodrome,Soyuz-2.1a/Fregat,2011,12
950,2011-033C,"Globalstar M091 (Globalstar 91, Globalstar 2-9)",USA,Globalstar,Italy,Thales Alenia Space,Commercial,Communications,nan,LEO,Non-Polar Inclined,114.1,15.0,700.0,nan,1700,Baikonur Cosmodrome,Soyuz-2.1a,2011,7
951,2011-080D,"Globalstar M092 (Globalstar 92, Globalstar 2-16)",USA,Globalstar,Italy,Thales Alenia Space,Commercial,Communications,nan,LEO,Non-Polar Inclined,114.1,15.0,700.0,nan,1700,Baikonur Cosmodrome,Soyuz-2.1a/Fregat,2011,12
952,2013-005B,"Globalstar M093 (Globalstar 87, Globalstar 2-20)",USA,Globalstar,Italy,Thales Alenia Space,Commercial,Communications,nan,LEO,Non-Polar Inclined,113.35,15.0,700.0,nan,1700,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013,2
953,2013-005C,"Globalstar M094 (Globalstar 93, Globalstar 2-21)",USA,Globalstar,Italy,Thales Alenia Space,Commercial,Communications,nan,LEO,Non-Polar Inclined,103.44,15.0,700.0,nan,1700,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013,2
954,2013-005F,"Globalstar M095 (Globalstar 96, Globalstar 2-24)",USA,Globalstar,Italy,Thales Alenia Space,Commercial,Communications,nan,LEO,Non-Polar Inclined,114.08,15.0,700.0,nan,1700,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013,2
955,2013-005D,"Globalstar M096 (Globalstar 94, Globalstar 2-22)",USA,Globalstar,Italy,Thales Alenia Space,Commercial,Communications,nan,LEO,Non-Polar Inclined,103.48,15.0,700.0,nan,1700,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013,2
956,2013-005A,"Globalstar M097 (Globalstar 78, Globalstar 2-19)",USA,Globalstar,Italy,Thales Alenia Space,Commercial,Communications,nan,LEO,Non-Polar Inclined,113.96,15.0,700.0,nan,1700,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013,2
957,2022-130A,"Glonass (Glonass-M, Cosmos 2559)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,nan,MEO,Non-Polar Inclined,676.2,7.0,1415.0,nan,1000,Plesetsk Cosmodrome,Soyuz-2.1b,2022,10
958,2011-009A,"Glonass 701 (Glonass-K, Cosmos 2471)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,nan,MEO,Non-Polar Inclined,675.78,10.0,935.0,nan,1700,Plesetsk Cosmodrome,Soyuz-2,2011,2
959,2014-075A,"Glonass 702 (Glonass K, Cosmos 2501)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,nan,MEO,Non-Polar Inclined,676.15,10.0,935.0,nan,1700,Plesetsk Cosmodrome,Soyuz-2.1b,2014,12
960,2020-075A,"Glonass 705 (Glonass M, Cosmos 2547)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,nan,MEO,Non-Polar Inclined,675.5,7.0,1415.0,nan,1000,Plesetsk Cosmodrome,Soyuz-2.1b,2020,10
961,2022-075A,"Glonass 706 (Glonass K, Cosmos 2557)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,nan,MEO,Non-Polar Inclined,676.15,10.0,974.0,nan,1700,Plesetsk Cosmodrome,Soyuz-2.1b,2022,7
962,2006-062A,"Glonass 716 (Glonass 35-2, Cosmos 2425)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,nan,MEO,Non-Polar Inclined,675.75,7.0,1480.0,nan,1600,Baikonur Cosmodrome,Proton K,2006,12
963,2006-062B,"Glonass 717 (Glonass 35-3, Cosmos 2426)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,nan,MEO,Non-Polar Inclined,675.75,7.0,1480.0,nan,1600,Baikonur Cosmodrome,Proton K,2006,12
964,2007-052B,"Glonass 719 (Glonass 36-2, Cosmos 2432)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,nan,MEO,Non-Polar Inclined,675.83,7.0,1480.0,nan,1600,Baikonur Cosmodrome,Proton K,2007,10
965,2007-052A,"Glonass 720 (Glonass 36-3, Cosmos 2433)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,nan,MEO,Non-Polar Inclined,675.67,7.0,1480.0,nan,1600,Baikonur Cosmodrome,Proton K,2007,10
966,2007-065A,"Glonass 721 (Glonass 37-1, Cosmos 2435)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,nan,MEO,Non-Polar Inclined,680.91,7.0,1480.0,nan,1600,Baikonur Cosmodrome,Proton M,2007,12
967,2007-065C,"Glonass 723 (Glonass 37-3, Cosmos 2436)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,nan,MEO,Non-Polar Inclined,680.75,7.0,1480.0,nan,1600,Baikonur Cosmodrome,Proton M,2007,12
968,2009-070A,"Glonass 730 (Glonass 41-1, Cosmos 2456)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,nan,MEO,Non-Polar Inclined,681.53,7.0,1415.0,nan,1000,Baikonur Cosmodrome,Proton M,2009,12
969,2010-007A,"Glonass 731 (Glonass 42-1, Cosmos 2459)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,nan,MEO,Non-Polar Inclined,675.85,7.0,1415.0,nan,1000,Baikonur Cosmodrome,Proton M,2010,3
970,2010-007C,"Glonass 732 (Glonass 42-3, Cosmos 2460)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,nan,MEO,Non-Polar Inclined,675.81,7.0,1415.0,nan,1000,Baikonur Cosmodrome,Proton M,2010,3
971,2009-070B,"Glonass 733 (Glonass 41-2, Cosmos 2457)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,nan,MEO,Non-Polar Inclined,670.47,7.0,1415.0,nan,1000,Baikonur Cosmodrome,Proton M,2009,12
972,2010-007B,"Glonass 735 (Glonass 42-2, Cosmos 2461)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,nan,MEO,Non-Polar Inclined,675.81,7.0,1415.0,nan,1000,Baikonur Cosmodrome,Proton M,2010,3
973,2010-041C,"Glonass 736 (Glonass 43-1, Cosmos 2464)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,nan,MEO,Non-Polar Inclined,671.2,7.0,1415.0,nan,1000,Baikonur Cosmodrome,Proton M,2010,9
974,2011-064A,"Glonass 743 (Glonass 44-2, Cosmos 2476)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,nan,MEO,Non-Polar Inclined,677.46,7.0,1415.0,nan,1000,Baikonur Cosmodrome,Proton M,2011,11
975,2011-064B,"Glonass 744 (Glonass 44-3, Cosmos 2477)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,nan,MEO,Non-Polar Inclined,677.5,7.0,1415.0,nan,1000,Baikonur Cosmodrome,Proton M,2011,11
976,2011-064C,"Glonass 745 (Glonass 44-1, Cosmos 2475)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,nan,MEO,Non-Polar Inclined,677.54,7.0,1415.0,nan,1000,Baikonur Cosmodrome,Proton M,2011,11
977,2013-019A,"Glonass 747 (Glonass-M, Cosmos 2485)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,nan,MEO,Non-Polar Inclined,675.73,7.0,1415.0,nan,1000,Plesetsk Cosmodrome,Soyuz-2,2013,4
978,2016-008A,"Glonass 751 (Glonass-M, Cosmos 2514)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,nan,MEO,Non-Polar Inclined,675.75,7.0,1415.0,nan,1000,Plesetsk Cosmodrome,Soyuz-2.1b,2016,2
979,2017-055A,"Glonass 752 (Glomass-M, Cosmos 2522)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,nan,MEO,Non-Polar Inclined,675.75,7.0,1415.0,nan,1000,Plesetsk Cosmodrome,Soyuz-2.1b,2017,9
980,2016-032A,"Glonass 753 (Glonass-M, Cosmos 2516)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,nan,MEO,Non-Polar Inclined,675.49,7.0,1415.0,nan,1000,Plesetsk Cosmodrome,Soyuz-2.1b,2016,5
981,2014-032A,"Glonass 755 (Glonass-M, Cosmos 2500)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,nan,MEO,Non-Polar Inclined,675.73,7.0,1415.0,nan,1000,Plesetsk Cosmodrome,Soyuz-2.1b,2014,6
982,2018-053A,"Glonass 756 (Glonass-M, Cosmos 2527)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,nan,MEO,Non-Polar Inclined,676.03,7.0,1415.0,nan,1000,Plesetsk Cosmodrome,Soyuz-2.1b,2018,6
983,2018-086A,"Glonass 757 (Glonass-M, Cosmos 2529)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,nan,MEO,Non-Polar Inclined,767.2,7.0,1415.0,nan,1000,Plesetsk Cosmodrome,Soyuz-2.1b,2018,11
984,2019-030A,"Glonass 758 (Glonass-M, Cosmos 2534)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,nan,MEO,Non-Polar Inclined,675.7,7.0,1415.0,nan,1000,Plesetsk Cosmodrome,Soyuz-2.1b,2019,5
985,2019-088A,"Glonass 759 (Glonass-M, Cosmos 2544)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,nan,MEO,Non-Polar Inclined,673.1,7.0,1415.0,nan,1000,Plesetsk Cosmodrome,Soyuz-2.1a,2019,12
986,2020-018A,"Glonass 760 (Glonass-M, Cosmos 2545)",Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Navigation/Global Positioning,nan,MEO,Non-Polar Inclined,676.2,7.0,1415.0,nan,1000,Plesetsk Cosmodrome,Soyuz-2.1b,2020,2
987,2021-004A,GMS-T,Germany,OHB SE (Orbitale Hochtechnologie Bremen),Germany,OHB System-AG,Commercial,Communications,nan,LEO,Polar,109.7,4.0,50.0,nan,nan,Rocket Lab Launch Complex 1,Electron,2021,1
988,2020-059B,GNOMES-1 (GNSS Navigation and Occultation Measurement Satellites),USA,PlanetiQ,USA,Blue Canyon Technologies,Commercial,Earth Science,nan,LEO,Sun-Synchronous,96.7,4.0,30.0,nan,nan,Cape Canaveral,Falcon 9,2020,8
989,2021-059AH,GNOMES-2 (GNSS Navigation and Occultation Measurement Satellites),USA,PlanetiQ,USA,Blue Canyon Technologies,Commercial,Earth Science,nan,LEO,Sun-Synchronous,94.5,4.0,30.0,nan,nan,Cape Canaveral,Falcon 9,2021,6
990,2022-033B,GNOMES-3 (GNSS Navigation and Occultation Measurement Satellites),USA,PlanetiQ,USA,Blue Canyon Technologies,Commercial,Earth Science,nan,LEO,Sun-Synchronous,96.0,4.0,30.0,nan,nan,Cape Canaveral,Falcon 9,2022,4
991,2006-018A,"GOES 13 (Geostationary Operational Environmental Satellite, GOES-N)",USA,US Air Force,USA,Boeing Satellite Systems,Military,Earth Observation,Earth Science/Meterology,GEO,nan,1436.0,7.0,3200.0,1533,2300,Cape Canaveral,Delta 4,2006,5
992,2009-033A,"GOES 14 (Geostationary Operational Environmental Satellite, GOES-O)",USA,NOAA (National Oceanographic and Atmospheric Administration),USA,Boeing Satellite Systems,Government,Earth Observation,Earth Science/Meterology,GEO,nan,1436.0,10.0,3200.0,1533,2300,Cape Canaveral,Delta 4,2009,6
993,2010-008A,"GOES 15 (Geostationary Operational Ennvironmental Satellite, GOES-P)",USA,NOAA (National Oceanographic and Atmospheric Administration),USA,Boeing Satellite Systems,Government,Earth Observation,Earth Science/Meterology,GEO,nan,1436.14,10.0,3175.0,2180,2300,Cape Canaveral,Delta 4,2010,3
