,ID Number COSPAR,Satellite Name,Country of Operator/Owner,Operator/Owner,Country of Contractor,Contractor,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Period (minutes),Expected Lifetime (yrs.),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Launch Site,Launch Vehicle,Launch Year,Launch Month,Launch Mass Categories,Expected Lifetime Categories,Period Categories
1789,2001-004A,"Navstar GPS IIR-7 (Navstar SVN 54, PRN 18, USA 156)",United States of America,DoD/US Air Force,United States of America,Lockheed Martin,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,718.09,10.0,2217.0,980,1136,Cape Canaveral,Delta 2,2001,1,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1790,2003-005A,"Navstar GPS IIR-8 (Navstar SVN 56, PRN 16, USA 166)",United States of America,DoD/US Air Force,United States of America,Lockheed Martin,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,720.71,10.0,2217.0,980,1136,Cape Canaveral,Delta 2,2003,1,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1791,2003-010A,"Navstar GPS IIR-9 (Navstar SVN 45, PRN 21, USA 168)",United States of America,DoD/US Air Force,United States of America,Lockheed Martin,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,720.65,10.0,2217.0,980,1136,Cape Canaveral,Delta 2,2003,3,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1792,2006-042A,"Navstar GPS IIR-M-2 (Navstar SVN 52, PRN 31, USA 190)",United States of America,DoD/US Air Force,United States of America,Lockheed Martin Missiles & Space,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,717.93,10.0,2060.0,,,Cape Canaveral,Delta 2,2006,9,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1793,2006-052A,"Navstar GPS IIR-M-3 (Navstar SVN 58, PRN 12, USA 192)",United States of America,DoD/US Air Force,United States of America,Lockheed Martin Missiles & Space,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,722.19,10.0,2060.0,,,Cape Canaveral,Delta 2,2006,11,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1794,2007-047A,"Navstar GPS IIR-M-4 (Navstar SVN 55, PRN 15, USA 196)",United States of America,DoD/US Air Force,United States of America,Lockheed Martin Missiles & Space,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,717.93,10.0,2217.0,980,1136,Cape Canaveral,Delta 2,2007,10,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1795,2007-062A,"Navstar GPS IIR-M-5 (Navstar SVN 57, PRN 29, USA 199)",United States of America,DoD/US Air Force,United States of America,Lockheed Martin Missiles & Space,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,719.92,10.0,2060.0,,,Cape Canaveral,Delta 2,2007,12,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1796,2008-012A,"Navstar GPS IIR-M-6 (Navstar SVN 48, PRN 07, USA 201)",United States of America,DoD/US Air Force,United States of America,Lockheed Martin,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,716.4,10.0,2217.0,980,1136,Cape Canaveral,Delta 2,2008,3,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1797,2009-043A,"Navstar GPS IIR-M-8 (Navstar SVN 50, PRN 05, USA 206)",United States of America,DoD/US Air Force,United States of America,Lockheed Martin Missiles & Space,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,718.07,10.0,2059.0,980,1136,Cape Canaveral,Delta 2,2009,8,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1798,2005-038A,"Navstar GPS IIR-M-USA 1 (Navstar SVN 53, PRN 17, USA 183)",United States of America,DoD/US Air Force,United States of America,Lockheed Martin,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,717.95,10.0,2217.0,980,1136,Cape Canaveral,Delta 2,2005,9,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1799,2004-045A,"Navstar GPS IIR-USA 13 (Navstar SVN 6USA 1, PRN 02, USA 180)",United States of America,DoD/US Air Force,United States of America,Lockheed Martin,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,718.0,10.0,2217.0,980,1136,Cape Canaveral,Delta 2,2004,11,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1800,2004-009A,"Navstar GPS IIR-USA 1USA 1 (Navstar SVN 59, PRN 19, USA 177)",United States of America,DoD/US Air Force,United States of America,Lockheed Martin,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,717.98,10.0,2217.0,980,1136,Cape Canaveral,Delta 2,2004,3,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1802,2022-011A,Neitron No. 1 (Cosmos 2553),Russia,Ministry of Defense,Russia,Unknown,Military,Earth Observation,Radar Imaging,MEO,Non-Polar Inclined,750.0,9.0,2000.0,,,Plesetsk Cosmodrome,Soyuz 2.1a,2022,2,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1907,2013-031C,O3b FM02,United Kingdom,O3b Networks Ltd.,France,Thales Alenia Space,Commercial,Communications,,MEO,Equatorial,287.93,9.0,700.0,,1500,Guiana Space Center,Soyuz-ST,2013,6,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1908,2014-038A,O3b FM03,United Kingdom,O3b Networks Ltd.,France,Thales Alenia Space,Commercial,Communications,,MEO,Equatorial,287.92,9.0,650.0,,1500,Guiana Space Center,Soyuz-ST-B,2014,7,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1909,2013-031B,O3b FM04,United Kingdom,O3b Networks Ltd.,France,Thales Alenia Space,Commercial,Communications,,MEO,Equatorial,287.93,9.0,700.0,,1500,Guiana Space Center,Soyuz-ST,2013,6,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1910,2013-031A,O3b FM05 (Other 3 Billion),United Kingdom,O3b Networks Ltd.,France,Thales Alenia Space,Commercial,Communications,,MEO,Equatorial,287.94,9.0,700.0,,1500,Guiana Space Center,Soyuz-ST,2013,6,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1911,2014-038B,O3b FM06,United Kingdom,O3b Networks Ltd.,France,Thales Alenia Space,Commercial,Communications,,MEO,Equatorial,281.15,9.0,650.0,,1500,Guiana Space Center,Soyuz-ST-B,2014,7,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1912,2014-038C,O3b FM07,United Kingdom,O3b Networks Ltd.,France,Thales Alenia Space,Commercial,Communications,,MEO,Equatorial,281.08,9.0,650.0,,1500,Guiana Space Center,Soyuz-ST-B,2014,7,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1913,2014-038D,O3b FM08,United Kingdom,O3b Networks Ltd.,France,Thales Alenia Space,Commercial,Communications,,MEO,Equatorial,280.87,9.0,650.0,,1500,Guiana Space Center,Soyuz-ST-B,2014,7,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1914,2014-083D,O3b FM09,United Kingdom,O3b Networks Ltd.,France,Thales Alenia Space,Commercial,Communications,,MEO,Equatorial,287.93,9.0,650.0,,1500,Guiana Space Center,Soyuz-ST-B,2014,12,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1915,2014-083A,O3b FM10,United Kingdom,O3b Networks Ltd.,France,Thales Alenia Space,Commercial,Communications,,MEO,Equatorial,287.93,9.0,650.0,,1500,Guiana Space Center,Soyuz-ST-B,2014,12,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1916,2014-083B,O3b FM11,United Kingdom,O3b Networks Ltd.,France,Thales Alenia Space,Commercial,Communications,,MEO,Equatorial,287.93,9.0,650.0,,1500,Guiana Space Center,Soyuz-ST-B,2014,12,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1917,2014-083C,O3b FM12,United Kingdom,O3b Networks Ltd.,France,Thales Alenia Space,Commercial,Communications,,MEO,Equatorial,287.93,9.0,650.0,,1500,Guiana Space Center,Soyuz-ST-B,2014,12,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1918,2018-024D,O3b FM13,United Kingdom,O3b Networks Ltd.,France,Thales Alenia Space,Commercial,Communications,,MEO,Equatorial,287.92,9.0,650.0,,1500,Guiana Space Center,Soyuz-2.1b,2018,3,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1919,2018-024C,O3b FM14,United Kingdom,O3b Networks Ltd.,France,Thales Alenia Space,Commercial,Communications,,MEO,Equatorial,287.92,9.0,650.0,,1500,Guiana Space Center,Soyuz-2.1b,2018,3,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1920,2018-024A,O3b FM15,United Kingdom,O3b Networks Ltd.,France,Thales Alenia Space,Commercial,Communications,,MEO,Equatorial,287.92,9.0,650.0,,1500,Guiana Space Center,Soyuz-2.1b,2018,3,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1921,2018-024B,O3b FM16,United Kingdom,O3b Networks Ltd.,France,Thales Alenia Space,Commercial,Communications,,MEO,Equatorial,287.92,9.0,650.0,,1500,Guiana Space Center,Soyuz-2.1b,2018,3,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1922,2019-020C,O3b FM17,United Kingdom,O3b Networks Ltd.,France,Thales Alenia Space,Commercial,Communications,,MEO,Equatorial,281.17,9.0,700.0,,1500,Guiana Space Center,Soyuz-ST-B,2019,4,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1923,2019-020D,O3b FM18,United Kingdom,O3b Networks Ltd.,France,Thales Alenia Space,Commercial,Communications,,MEO,Equatorial,281.02,9.0,700.0,,1500,Guiana Space Center,Soyuz-ST-B,2019,4,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1924,2019-020B,O3b FM19,United Kingdom,O3b Networks Ltd.,France,Thales Alenia Space,Commercial,Communications,,MEO,Equatorial,280.86,9.0,700.0,,1500,Guiana Space Center,Soyuz-ST-B,2019,4,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1925,2019-020A,O3b FM20,United Kingdom,O3b Networks Ltd.,France,Thales Alenia Space,Commercial,Communications,,MEO,Equatorial,280.73,9.0,700.0,,1500,Guiana Space Center,Soyuz-ST-B,2019,4,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1926,2013-031D,O3b PFM,United Kingdom,O3b Networks Ltd.,France,Thales Alenia Space,Commercial,Communications,,MEO,Equatorial,287.93,9.0,700.0,,1500,Guiana Space Center,Soyuz-ST,2013,6,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
7287,2020-083A,"USA 310 (NROL101, USA 310)",United States of America,National Reconnaissance Office (NRO)/US Air Force,United States of America,National Reconnaissance Office,Military,Earth Observation,,MEO,Non-Polar Inclined,383.0,9.0,1250.0,,,Cape Canaveral,Atlas 5,2020,11,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
